name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"The Sopranos", "9.2", "583887", "https://www.imdb.com/title/tt0141842/", "https://m.media-amazon.com/images/M/MV5BZjYwNWQwOTMtMzYwOS00NTcxLWFhNTYtNGQ4YjdmYTcyNDFkXkEyXkFqcGc@._V1_.jpg", "New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.", "Crime, Drama", "0", "TV-MA", "mafia, psychiatrist, italian american, violence, overweight mafioso", "US", "36", "DOWN 1", "", "", "James Gandolfini, Lorraine Bracco, Edie Falco", "James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli", "", "", "", "", "Satin Dolls - 230 State Route 17 S., Lodi, New Jersey, USA", "English, Italian, Russian", "Dolby Digital, DTS", "1.78 : 1", "Color", "127", "312", "TV Series", "True", "False", "False"
"The Mentalist", "8.2", "232527", "https://www.imdb.com/title/tt1196946/", "https://m.media-amazon.com/images/M/MV5BMTQ5OTgzOTczM15BMl5BanBnXkFtZTcwMDM2OTY4MQ@@._V1_.jpg", "Famous &quot;psychic&quot;, Patrick Jane, outs himself as a fake, and using his heightened observational skills and impeccable knowledge of the human psyche, he works with the police so he can find &quot;Red John&quot;, the madman who killed his family.", "Crime, Drama, Mystery", "0", "TV-14", "solving crime, criminal psychology, brilliant mind, criminal investigation, police consultant", "US", "37", "UP 4", "", "", "Simon Baker, Robin Tunney, Tim Kang", "Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman", "", "", "", "", "Sacramento, California, USA", "English", "Dolby Digital", "1.78 : 1", "Color", "4", "16", "TV Series", "True", "False", "False"
"Rivals", "7.9", "19430", "https://www.imdb.com/title/tt21906238/", "https://m.media-amazon.com/images/M/MV5BZTc1NTcwNWEtN2NiZC00NGM3LTliNWEtZjY2YWZiOGUzNGRhXkEyXkFqcGc@._V1_.jpg", "Follows Rupert Campbell-Black and Tony Baddingham as they have a longstanding rivalry that comes to a head.", "Drama", "0", "TV-MA", "male nudity, male frontal nudity, male full frontal nudity, male rear nudity, female nudity", "US", "38", "DOWN 15", "", "", "David Tennant, Danny Dyer, Alex Hassell", "David Tennant, Danny Dyer, Alex Hassell, Bella Maclean", "", "", "", "", "Tetbury, Gloucestershire, England, UK", "English", "Dolby Digital", "", "Color", "6", "13", "TV Series", "True", "False", "False"
"The Vampire Lestat", "7.6", "40949", "https://www.imdb.com/title/tt3960394/", "https://m.media-amazon.com/images/M/MV5BYmE0MjUzY2YtYTU3Yi00ZGUzLWE3MmQtM2M2Y2QyYWZmYjkwXkEyXkFqcGc@._V1_.jpg", "A vampire tells his epic story of love, blood, and the perils of immortality to a journalist.", "Drama, Fantasy, Horror", "0", "TV-MA", "gothic, based on the works of anne rice, new orleans louisiana, child vampire, homoeroticism", "US", "39", "DOWN 7", "", "", "Eric Bogosian, Jacob Anderson, Sam Reid", "Eric Bogosian, Jacob Anderson, Sam Reid, Assad Zaman", "", "", "", "", "Czech Republic", "English", "", "2.00 : 1", "Color", "6", "47", "TV Series", "True", "False", "False"
"Law &amp; Order: Special Victims Unit", "8.1", "145432", "https://www.imdb.com/title/tt0203259/", "https://m.media-amazon.com/images/M/MV5BMTU0NGIwMGQtNzk1OC00MzcxLTk0NDYtYWYyMjA3Mzg0ZWFkXkEyXkFqcGc@._V1_.jpg", "Follows the NYPD&apos;s specially trained squad of detectives who investigate sex crimes, including rape, paedophilia, child abuse, human trafficking and domestic violence.", "Crime, Drama, Mystery", "0", "TV-14", "shared universe, date rape, police, police procedural crime, cop drama", "US", "40", "DOWN 3", "", "", "Mariska Hargitay, Christopher Meloni, Ice-T", "Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek", "", "", "", "", "Pier 59 Studios, Chelsea Piers, Pier 59 - West 18th Street & West Side Highway, Chelsea, Manhattan, New York City, New York, USA", "English", "Stereo", "", "Color", "59", "181", "TV Series", "True", "False", "False"
"Silo", "8.1", "216488", "https://www.imdb.com/title/tt14688458/", "https://m.media-amazon.com/images/M/MV5BN2E5ODJmOTUtYTk0NS00NmFiLTk0MTgtZDRlNzE1YmExMjk4XkEyXkFqcGc@._V1_.jpg", "Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.", "Drama, Mystery, Sci-Fi", "0", "TV-MA", "dystopia, underground city, post apocalypse, hidden history, lost technology", "US", "41", "UP 11", "", "", "Rebecca Ferguson, Common, Chinaza Uche", "Rebecca Ferguson, Common, Chinaza Uche, Harriet Walter", "", "", "", "", "Hertfordshire, England, UK", "English", "Dolby Atmos", "", "Color", "4", "30", "TV Series", "True", "False", "False"
"Stranger Things", "8.6", "1711252", "https://www.imdb.com/title/tt4574334/", "https://m.media-amazon.com/images/M/MV5BNjRiMTA4NWUtNmE0ZC00NGM0LWJhMDUtZWIzMDM5ZDIzNTg3XkEyXkFqcGc@._V1_.jpg", "In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.", "Drama, Fantasy, Horror", "0", "TV-MA", "1980s, government conspiracy, friendship, monster, telekinesis", "US", "42", "FLAT 0", "", "", "Millie Bobby Brown, Finn Wolfhard, Winona Ryder", "Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour", "", "", "", "", "Vilnius, Lithuania", "English", "Dolby Digital, Dolby Atmos", "2.00 : 1", "Color", "123", "337", "TV Series", "True", "False", "False"
"Clarkson&apos;s Farm", "9", "87735", "https://www.imdb.com/title/tt10541088/", "https://m.media-amazon.com/images/M/MV5BNzA1Yzk0NzEtMmQwNi00ZmQyLWFmYTUtM2NjYjBkMGE3NDRkXkEyXkFqcGc@._V1_.jpg", "Follow Jeremy Clarkson as he attempts to run a farm in the countryside.", "Documentary, Comedy, Reality-TV", "0", "TV-PG", "farm, england, farming, cotswolds, farmhand", "GB", "43", "UP 16", "", "", "Jeremy Clarkson, Kaleb Cooper, Charlie Ireland", "Jeremy Clarkson, Kaleb Cooper, Charlie Ireland, Lisa Hogan", "", "", "", "", "", "English", "Dolby Digital", "", "Color", "0", "2", "TV Series", "True", "False", "False"
"Sweet Magnolias", "7.3", "28284", "https://www.imdb.com/title/tt9077540/", "https://m.media-amazon.com/images/M/MV5BMThjZTJkYTAtZjI5Ny00NDM4LThiNGYtYjI2MDlmOGE0ZTE5XkEyXkFqcGc@._V1_.jpg", "Three South Carolina women, best friends since high school, shepherd one another through the complexities of romance, career, and family.", "Drama, Romance", "0", "TV-14", "shepherd, feel good romance, 2020s, 21st century, love", "US", "44", "DOWN 8", "", "", "JoAnna Garcia Swisher, Brooke Elliott, Heather Headley", "JoAnna Garcia Swisher, Brooke Elliott, Heather Headley, Logan Allen", "", "", "", "", "Covington, Georgia, USA", "English", "Stereo", "16:9 HD", "Color", "3", "1", "TV Series", "True", "False", "False"
"The Legend of Vox Machina", "8.4", "55070", "https://www.imdb.com/title/tt11247158/", "https://m.media-amazon.com/images/M/MV5BMjI0ZjE2NDgtM2IxMy00NTk3LWFhMTEtMWNhOWJiYjIzYzY2XkEyXkFqcGc@._V1_.jpg", "After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma C...", "Animation, Action, Adventure", "0", "TV-MA", "based on web series, dungeons and dragons, adult animation, group, bisexual", "US", "45", "UP 12", "", "", "Laura Bailey, Taliesin Jaffe, Ashley Johnson", "Laura Bailey, Taliesin Jaffe, Ashley Johnson, Matthew Mercer", "", "", "", "", "", "English", "Dolby Digital", "", "Color", "1", "4", "TV Series", "True", "False", "False"
"The Walking Dead", "8.1", "1201193", "https://www.imdb.com/title/tt1520211/", "https://m.media-amazon.com/images/M/MV5BYWQwMGRhNGEtZTNhMy00MzVjLWJhMjItYjcwMDljMTkyNTg2XkEyXkFqcGc@._V1_.jpg", "Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.", "Drama, Horror, Thriller", "0", "TV-MA", "zombie, post apocalypse, survival, based on comic, zombie apocalypse", "US", "46", "UP 2", "", "", "Andrew Lincoln, Norman Reedus, Melissa McBride", "Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan", "", "USD 605,764", "USD 151,441", "USD 151,441", "Senoia, Georgia, USA", "English", "Dolby Digital", "1.78 : 1", "Color", "86", "237", "TV Series", "True", "False", "False"
"Better Call Saul", "9", "843544", "https://www.imdb.com/title/tt3032476/", "https://m.media-amazon.com/images/M/MV5BNDdjNTEzMjMtYjM3Mi00NzQ3LWFlNWMtZjdmYWU3ZDkzMjk1XkEyXkFqcGc@._V1_.jpg", "Albuquerque lawyer Jimmy McGill scrapes for clients and respect, but every win drags him closer to shady deals, dangerous players, and the alter ego Saul Goodman.", "Crime, Drama", "0", "TV-MA", "lawyer, drug trade, spin off, organized crime, psychosomatic illness", "US", "47", "UP 4", "", "", "Bob Odenkirk, Rhea Seehorn, Jonathan Banks", "Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian", "", "", "", "", "Albuquerque, New Mexico, USA", "English, Spanish, Vietnamese", "Stereo, Dolby Digital", "", "Color", "66", "317", "TV Series", "True", "False", "False"
"For All Mankind", "8.1", "90566", "https://www.imdb.com/title/tt7772588/", "https://m.media-amazon.com/images/M/MV5BZmI5OTNmYWQtNjRhNy00MWYxLWJjMzAtMmRlNDU1ZjBhMzhlXkEyXkFqcGc@._V1_.jpg", "In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.", "Drama, Sci-Fi", "0", "TV-MA", "astronaut, space program, 1970s, mining, apple tv", "US", "48", "DOWN 10", "", "", "Joel Kinnaman, Michael Dorman, Wrenn Schmidt", "Joel Kinnaman, Michael Dorman, Wrenn Schmidt, Cynthy Wu", "", "", "", "", "Sofia, Bulgaria", "English", "", "2.00 : 1", "Color", "3", "21", "TV Series", "True", "False", "False"
"A Knight of the Seven Kingdoms", "8.6", "256923", "https://www.imdb.com/title/tt27497448/", "https://m.media-amazon.com/images/M/MV5BYzg4M2U3YWMtMWY4MS00MzFkLTk2ZWQtOThiOGYxZDEyMGQ2XkEyXkFqcGc@._V1_.jpg", "A century before the events of &quot;Game of Thrones,&quot; Ser Duncan the Tall, and his squire, Egg, wander through Westeros while the Targaryen dynasty rule the Iron Throne. Great destinies and enemies await the incomparable friends.", "Adventure, Drama, Fantasy", "0", "TV-MA", "prequel, based on novella, westeros, game of thrones, knight", "US", "49", "UP 20", "", "", "Peter Claffey, Dexter Sol Ansell, Daniel Ings", "Peter Claffey, Dexter Sol Ansell, Daniel Ings, Shaun Thomas", "", "", "", "", "Mourne Mountains, County Down, Northern Ireland, UK", "English", "Dolby Atmos", "2.00 : 1", "Color", "0", "5", "TV Series", "True", "False", "False"
"ER", "7.9", "78992", "https://www.imdb.com/title/tt0108757/", "https://m.media-amazon.com/images/M/MV5BMzM5NjQ4M2QtNWQyMy00OWUxLWIyZjktNmY2ZjMyZjA2NWE0XkEyXkFqcGc@._V1_.jpg", "The doctors who work in the ER at the County General Hospital in Chicago grapple with ups and downs in their personal and professional lives while trying to give apt medical care to their patients.", "Drama, Romance", "0", "TV-14", "medical care, medical doctor, ensemble cast, hospital patient, illinois", "US", "50", "DOWN 6", "", "", "Anthony Edwards, George Clooney, Julianna Margulies", "Anthony Edwards, George Clooney, Julianna Margulies, Noah Wyle", "", "", "", "", "Chicago, Illinois, USA", "English", "Dolby", "1.78 : 1", "Color", "158", "370", "TV Series", "True", "False", "False"
"The Office", "9", "837313", "https://www.imdb.com/title/tt0386676/", "https://m.media-amazon.com/images/M/MV5BZjQwYzBlYzUtZjhhOS00ZDQ0LWE0NzAtYTk4MjgzZTNkZWEzXkEyXkFqcGc@._V1_.jpg", "A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance.", "Comedy", "0", "TV-14", "mockumentary, office, office romance, sitcom, employer employee relationship", "US", "51", "UP 3", "", "", "Steve Carell, Jenna Fischer, John Krasinski", "Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson", "", "", "", "", "Scranton, Pennsylvania, USA", "English, Spanish, German, French", "", "1.78 : 1", "Color", "61", "211", "TV Series", "True", "False", "False"
"Tip Toe", "8.2", "3034", "https://www.imdb.com/title/tt35768911/", "https://m.media-amazon.com/images/M/MV5BYzk1MzVjYjItNTZlYy00MGU5LTgzMDQtMGQwZTg3ZjBmM2YwXkEyXkFqcGc@._V1_.jpg", "Neighbors Leo, a Canal Street bar owner, and Clive, an electrician with two sons, find their lives unraveling as social tensions rise. Simple disagreements escalate into dangerous hostility in their Manchester suburb.", "Drama, Thriller", "0", "", "gay actor gay character, gay, gay interest, tv mini series, bar owner", "GB", "52", "DOWN 30", "", "", "Elizabeth Berrington, Pooky Quesnel, Paul Rhys", "Elizabeth Berrington, Pooky Quesnel, Paul Rhys, David Morrissey", "", "", "", "", "The Church, Canal Street, Manchester, Greater Manchester, England, UK", "English", "", "", "", "0", "0", "TV Mini Series", "True", "False", "False"
"Severance", "8.6", "393886", "https://www.imdb.com/title/tt11280740/", "https://m.media-amazon.com/images/M/MV5BZDI5YzJhODQtMzQyNy00YWNmLWIxMjUtNDBjNjA5YWRjMzExXkEyXkFqcGc@._V1_.jpg", "Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.", "Drama, Mystery, Sci-Fi", "0", "TV-MA", "dystopian sci fi, psychological drama, memory, office, mind control", "US", "53", "UP 15", "", "", "Adam Scott, Britt Lower, Zach Cherry", "Adam Scott, Britt Lower, Zach Cherry, Tramell Tillman", "", "", "", "", "Bell Laboratories - 101 Crawfords Corner Road, Holmdel Township, New Jersey, USA", "English", "", "2.39 : 1", "Color", "51", "202", "TV Series", "True", "False", "False"
"Person of Interest", "8.5", "210859", "https://www.imdb.com/title/tt1839578/", "https://m.media-amazon.com/images/M/MV5BOTcxNDJiMTUtN2ZhZS00OGE1LWJmZmYtN2VhYThiZTBhYWM1XkEyXkFqcGc@._V1_.jpg", "An off-the-grid and presumed-dead former CIA agent, John Reese, is hired by a mysterious tech billionaire software genius, Harold Finch, to prevent violent crimes before they happen in New York City via an advanced surveillance so...", "Action, Crime, Drama", "0", "TV-14", "artificial intelligence, ex cia agent, special operations, computer, officially listed as dead", "US", "54", "DOWN 7", "", "", "Jim Caviezel, Taraji P. Henson, Kevin Chapman", "Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson", "", "", "", "", "Silvercup Studios East, Long Island City, Queens, New York City, New York, USA", "English", "Dolby Digital", "1.78 : 1", "Color", "9", "24", "TV Series", "True", "False", "False"
"Seeking Persephone", "7.5", "2352", "https://www.imdb.com/title/tt29666911/", "https://m.media-amazon.com/images/M/MV5BNDQ3ZmFkZjctNGUzMS00MjU4LWI2OWQtNjJkMTZiNDdhZDkxXkEyXkFqcGc@._V1_.jpg", "Impoverished Persephone marries reclusive Duke, hoping his wealth rescues her family. She persists in connecting with the man beneath his scarred psyche and imposing estate. Grave peril forces him to risk vulnerability to protect ...", "Romance", "0", "", "", "US", "55", "UP 246", "", "", "Ryann Bailey, Jake Stormoen, Toby-Alexander Smith", "Ryann Bailey, Jake Stormoen, Toby-Alexander Smith, Stevie Raine", "", "", "", "", "", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Landman", "8.2", "109928", "https://www.imdb.com/title/tt14186672/", "https://m.media-amazon.com/images/M/MV5BNTQ1MzI1ZWYtNWMxMC00NmU4LTlmMjItZjY1NWMyYTdjMjM4XkEyXkFqcGc@._V1_.jpg", "A modern-day tale of fortune seeking in the world of West Texas oil rigs.", "Crime, Drama, Western", "0", "TV-MA", "female frontal nudity, female full frontal nudity, female rear nudity, oil business, contemporary western", "US", "56", "UP 8", "", "", "Billy Bob Thornton, Ali Larter, Demi Moore", "Billy Bob Thornton, Ali Larter, Demi Moore, Jacob Lofland", "", "", "", "", "Fort Worth, Texas, USA", "English, Spanish", "Dolby Digital", "2.00 : 1", "Color", "3", "21", "TV Series", "True", "False", "False"
"Star City", "7.1", "2282", "https://www.imdb.com/title/tt32140872/", "https://m.media-amazon.com/images/M/MV5BYTA0ZmE5ODQtNDYyZS00NTIzLWEzZTEtZDAwYjEzZmJkYjI2XkEyXkFqcGc@._V1_.jpg", "Soviet cosmonauts, engineers, and intelligence officers risk everything in an ambitious space program aiming to be the first to reach the moon.", "Drama, Sci-Fi", "0", "TV-MA", "space program, alternate history, space race, moon, rocket launch", "US", "57", "DOWN 7", "", "", "Rhys Ifans, Anna Maxwell Martin, Agnes O'Casey", "Rhys Ifans, Anna Maxwell Martin, Agnes O'Casey, Alice Englert", "", "", "", "", "Vilnius, Lithuania", "English", "", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"The White Lotus", "8", "327736", "https://www.imdb.com/title/tt13406094/", "https://m.media-amazon.com/images/M/MV5BZmM1MGM0MDQtZTAzNy00ZGJkLWI4MDUtNjBmMzdhYjhlM2QwXkEyXkFqcGc@._V1_.jpg", "The exploits of various guests and employees of a luxury resort over the span of a week.", "Comedy, Drama, Mystery", "0", "TV-MA", "satire, hawaii, vacation, resort, social commentary", "US", "58", "UP 4", "", "", "Jon Gries, Natasha Rothwell, Jennifer Coolidge", "Jon Gries, Natasha Rothwell, Jennifer Coolidge, Leslie Bibb", "", "", "", "", "Four Seasons Resort Maui at Wailea, Maui, Hawaii, USA", "English", "Dolby Digital", "1.78 : 1", "Color", "83", "228", "TV Series", "True", "False", "False"
"Invincible", "8.7", "344537", "https://www.imdb.com/title/tt6741278/", "https://m.media-amazon.com/images/M/MV5BZGM5MmM2ZDAtMzBjNS00NjMxLWE4ZTMtNzFjMWMxYzU2ZThjXkEyXkFqcGc@._V1_.jpg", "When 17-year-old Mark Grayson inherits superpowers, he becomes the superhero Invincible.", "Animation, Action, Adventure", "0", "TV-MA", "based on comic book, superhero, adult animation, gore, image comics", "US", "59", "DOWN 6", "", "", "Steven Yeun, J.K. Simmons, Sandra Oh", "Steven Yeun, J.K. Simmons, Sandra Oh, Gillian Jacobs", "", "", "", "", "", "English", "Dolby Digital", "16:9 HD", "Color", "5", "23", "TV Series", "True", "False", "False"
"Hacks", "8.2", "66503", "https://www.imdb.com/title/tt11815682/", "https://m.media-amazon.com/images/M/MV5BMjE0MmM5YzktNGY0NS00ZmQ0LWI1YjEtZjY2NDA4ZmZiNGQ2XkEyXkFqcGc@._V1_.jpg", "Explores a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old.", "Comedy, Drama", "0", "TV-MA", "female full frontal nudity, female protagonist, female nudity, female frontal nudity, lesbian", "US", "60", "DOWN 14", "", "", "Jean Smart, Hannah Einbinder, Carl Clemons-Hopkins", "Jean Smart, Hannah Einbinder, Carl Clemons-Hopkins, Mark Indelicato", "", "", "", "", "Las Vegas, Nevada, USA", "English", "Dolby Digital", "2.00 : 1", "Color", "102", "248", "TV Series", "True", "False", "False"
"One Piece: Wan pîsu", "9", "357652", "https://www.imdb.com/title/tt0388629/", "https://m.media-amazon.com/images/M/MV5BMTNjNGU4NTUtYmVjMy00YjRiLTkxMWUtNzZkMDNiYjZhNmViXkEyXkFqcGc@._V1_.jpg", "Monkey D. Luffy, a pirate with rubber powers, forms the Straw Hat crew and sails the Grand Line, battling rivals and the World Government on a quest for the legendary treasure One Piece and the title of Pirate King.", "Animation, Action, Adventure", "0", "TV-14", "pirate, one piece, monkey d. luffy character, quest, treasure", "JP", "61", "UP 14", "", "", "Mayumi Tanaka, Akemi Okamura, Tony Beck", "Mayumi Tanaka, Akemi Okamura, Tony Beck, Laurent Vernin", "JPY 10,000,000", "", "", "", "", "Japanese", "Stereo, Dolby Digital", "", "Color", "8", "20", "TV Series", "True", "False", "False"
"Friends", "8.8", "1196193", "https://www.imdb.com/title/tt0108778/", "https://m.media-amazon.com/images/M/MV5BOTU2YmM5ZjctOGVlMC00YTczLTljM2MtYjhlNGI5YWMyZjFkXkEyXkFqcGc@._V1_.jpg", "The personal and professional lives of six friends living in the Manhattan borough of New York City.", "Comedy, Romance", "0", "TV-14", "friendship, new york city, friend, boyfriend girlfriend relationship, famous opening theme", "US", "62", "UP 21", "", "", "Jennifer Aniston, Courteney Cox, Lisa Kudrow", "Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc", "", "USD 246,168", "USD 89,007", "USD 89,007", "Las Vegas, Nevada, USA", "English, Spanish, Italian, French, Dutch, Hebrew", "Stereo", "1.33 : 1, 4:3", "Color", "79", "231", "TV Series", "True", "False", "False"
"Margo&apos;s Got Money Troubles", "7.3", "12587", "https://www.imdb.com/title/tt31137273/", "https://m.media-amazon.com/images/M/MV5BOTI2NDRhZWUtZDQwOC00OTk1LTk3Y2QtNmFlZjczOTMyZjM5XkEyXkFqcGc@._V1_.jpg", "A young mother struggles to make ends meet. When her estranged father offers help, she starts an OnlyFans account using his advice from pro wrestling. Though successful, she wonders if Internet fame comes at too high a cost.", "Comedy, Drama", "0", "TV-MA", "onlyfans, coming of age, humor, contemporary, adult fiction", "US", "63", "UP 2", "", "", "Elle Fanning, Nick Offerman, Greg Kinnear", "Elle Fanning, Nick Offerman, Greg Kinnear, Michelle Pfeiffer", "", "", "", "", "Fox Fullerton Theatre 510 N. Harbor Blvd. Fullerton, California, USA", "English", "Dolby Atmos", "2.20 : 1", "Color", "0", "6", "TV Series", "True", "False", "False"
"The Wire", "9.3", "433127", "https://www.imdb.com/title/tt0306414/", "https://m.media-amazon.com/images/M/MV5BYjIxZTMwZmUtOTUzYS00YmU2LWJhNDAtNzA2NDg0NDA0MjVkXkEyXkFqcGc@._V1_.jpg", "The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.", "Crime, Drama, Thriller", "0", "TV-MA", "baltimore maryland, drug trafficking, police department politics, corruption, urban decay", "US", "64", "UP 3", "", "", "Dominic West, Lance Reddick, Sonja Sohn", "Dominic West, Lance Reddick, Sonja Sohn, John Doman", "", "", "", "", "Baltimore, Maryland, USA", "English, Greek, Mandarin, Spanish", "", "4:3", "Color", "18", "59", "TV Series", "True", "False", "False"
"Jujutsu Kaisen", "8.5", "211916", "https://www.imdb.com/title/tt12343534/", "https://m.media-amazon.com/images/M/MV5BMjBlNTExMDAtMWZjZi00MDc5LWFkMjgtZDU0ZWQ5ODk3YWY5XkEyXkFqcGc@._V1_.jpg", "After Yuji Itadori swallows a cursed talisman - the finger of a demon - he becomes cursed himself. He enters a shaman&apos;s school to be able to locate the demon&apos;s other body parts and thus exorcise himself.", "Animation, Action, Adventure", "0", "TV-MA", "based on manga, fight, 2d animation, martial arts, exorcism", "JP", "65", "UP 29", "", "", "Jun'ya Enoki, Adam McArthur, Yuma Uchida", "Jun'ya Enoki, Adam McArthur, Yuma Uchida, Yûichi Nakamura", "", "", "", "", "Malaysia", "Japanese, English", "Dolby Digital", "", "Color", "33", "43", "TV Series", "True", "False", "False"
"The Witness", "6.5", "3448", "https://www.imdb.com/title/tt31631015/", "https://m.media-amazon.com/images/M/MV5BYjg4YzFlZjgtYjljZC00YjNiLWE1ZTUtNGYyODA0NzZkZDYwXkEyXkFqcGc@._V1_.jpg", "In 1992, Rachel Nickell was murdered on Wimbledon Common and her son, Alex, just three weeks from his third birthday, was the only witness. The drama is based on the memoir and experiences of Alex and his father, André Hanscombe.", "Crime, Drama", "0", "TV-MA", "criminal, murder, victim, investigation, case", "GB", "66", "DOWN 50", "", "", "Jordan Bolger, Neil Maskell, Mark Stanley", "Jordan Bolger, Neil Maskell, Mark Stanley, Max Fincham", "", "", "", "", "", "English, Catalan", "Dolby Digital, Stereo", "", "Color", "0", "0", "TV Mini Series", "True", "False", "False"
"Grey&apos;s Anatomy", "7.6", "375145", "https://www.imdb.com/title/tt0413573/", "https://m.media-amazon.com/images/M/MV5BYTVjNWVhYTctMGJkMS00NWFjLWE2N2QtNmQ1Y2FhZDFkNzUwXkEyXkFqcGc@._V1_.jpg", "A drama centered on the personal and professional lives of five surgical interns and their supervisors.", "Drama, Romance", "0", "TV-14", "surgery, female physician, medical, alcoholism, surgeon", "US", "67", "UP 6", "", "", "Ellen Pompeo, Chandra Wilson, James Pickens Jr.", "Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd", "", "", "", "", "Veterans Hospital - 1611 Plummer Street, North Hills, Los Angeles, California, USA", "English", "Dolby Digital, Stereo", "16:9 HD", "Color", "90", "253", "TV Series", "True", "False", "False"
"Marshals", "6.1", "15165", "https://www.imdb.com/title/tt36849871/", "https://m.media-amazon.com/images/M/MV5BOTk4NThjNzgtMjVjNi00MjdjLWE1NDctMzRhNTI1Y2RiN2NkXkEyXkFqcGc@._V1_.jpg", "Ex-Navy SEAL Kayce Dutton leaves the Yellowstone ranch to work with an elite U.S. Marshals team.", "Action, Crime, Drama", "0", "TV-14", "yellowstone franchise, police investigation, united states of america, law enforcement, widower", "US", "68", "DOWN 13", "", "", "Luke Grimes, Ash Santos, Tatanka Means", "Luke Grimes, Ash Santos, Tatanka Means, Logan Marshall-Green", "", "", "", "", "Park city, Utah, USA", "English", "Stereo", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"True Detective", "8.8", "759220", "https://www.imdb.com/title/tt2356777/", "https://m.media-amazon.com/images/M/MV5BYjgwYzA1NWMtNDYyZi00ZGQyLWI5NTktMDYwZjE2OTIwZWEwXkEyXkFqcGc@._V1_.jpg", "Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.", "Crime, Drama, Mystery", "0", "TV-MA", "murder, police investigation, police detective, southern gothic, louisiana", "US", "69", "UP 7", "", "", "Vince Vaughn, Colin Farrell, Rachel McAdams", "Vince Vaughn, Colin Farrell, Rachel McAdams, Matthew McConaughey", "", "", "", "", "Arkansas, USA", "English", "Dolby Digital", "1.78 : 1", "Color", "48", "171", "TV Series", "True", "False", "False"
"Paradise", "7.9", "83325", "https://www.imdb.com/title/tt27444205/", "https://m.media-amazon.com/images/M/MV5BYTNmMjEwZGYtZWJjNy00MjI2LWI3YmUtNTY3NjVkMmU4MDM0XkEyXkFqcGc@._V1_.jpg", "A Secret Service agent investigates the murder of a former president in a seemingly peaceful community.", "Action, Drama, Mystery", "0", "TV-MA", "conspiracy thriller, dystopian sci fi, male star appears nude, male rear nudity, male nudity", "US", "70", "UP 2", "", "", "Sterling K. Brown, Sarah Shahi, Nicole Brydon Bloom", "Sterling K. Brown, Sarah Shahi, Nicole Brydon Bloom, Julianne Nicholson", "", "", "", "", "Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA", "English", "Dolby Digital", "2.39 : 1", "Color", "11", "34", "TV Series", "True", "False", "False"
"Love Island USA", "5.2", "3781", "https://www.imdb.com/title/tt8819906/", "https://m.media-amazon.com/images/M/MV5BZTE0ODRhMDctZWE5NC00ZTk5LThlNmQtYmY3MTZjMjhhNDA3XkEyXkFqcGc@._V1_.jpg", "U.S. version of the British show &apos;Love Island&apos; where a group of singles come to stay in a villa for a few weeks and have to couple up with one another.", "Game-Show, Reality-TV, Romance", "0", "TV-MA", "dating and romance reality tv, dating game show, love in title, love island, non fiction", "US", "71", "UP 3", "", "", "Iain Stirling, Matthew Hoffman, Ariana Madix", "Iain Stirling, Matthew Hoffman, Ariana Madix, Cely Vazquez", "", "", "", "", "Mamanuca Islands, Fiji", "English", "", "", "Color", "2", "2", "TV Series", "True", "False", "False"
