name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Hokum", "6.8", "37444", "https://www.imdb.com/title/tt35672862/", "https://m.media-amazon.com/images/M/MV5BZjA1ZjFlZGItNTVjZC00NTFhLTg2YTEtODMzODRmNGFiNTdmXkEyXkFqcGc@._V1_.jpg", "A horror writer visits an Irish inn to scatter his parents&apos; ashes, unaware the property is said to be haunted by a witch.", "Horror, Thriller", "107", "R", "haunted hotel room, hotel, supernatural horror, psychological horror, witch horror", "IE", "19", "DOWN 8", "Damian McCarthy", "", "Adam Scott, Peter Coonan, David Wilmot", "Adam Scott, Peter Coonan, David Wilmot, Florence Ordesh", "", "USD 6,428,305", "USD 17,000,014", "USD 24,033,829", "Skibbereen, Co. Cork, Ireland", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Toy Story 3", "8.3", "974979", "https://www.imdb.com/title/tt0435761/", "https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg", "As Andy prepares to leave for college, Woody, Buzz and the gang face an uncertain future when a mix-up sends them to a daycare center full of new toys.", "Animation, Adventure, Comedy", "103", "G", "escape, recycling, sheriff, janitor, fashion show", "US", "33", "UP 70", "Lee Unkrich", "John Lasseter, Andrew Stanton, Lee Unkrich", "Tom Hanks, Tim Allen, Joan Cusack", "Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty", "USD 200,000,000", "USD 110,307,189", "USD 415,004,880", "USD 1,067,316,101", "Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA", "English, Spanish", "Dolby Digital", "1.78 : 1", "Color", "63", "96", "Movie", "False", "False", "False"
"The Mandalorian and Grogu", "7", "63898", "https://www.imdb.com/title/tt30825738/", "https://m.media-amazon.com/images/M/MV5BYjRkYzAzNjktZmRhMy00NjRiLWE0OTMtYmRmMTE5NDkzY2NlXkEyXkFqcGc@._V1_.jpg", "Once a lone bounty hunter, Mandalorian Din Djarin and his apprentice Grogu embark on an exciting new Star Wars adventure.", "Action, Adventure, Family", "132", "PG-13", "star wars, space sci fi, space adventure, epic sci fi, epic fantasy", "US", "18", "DOWN 8", "Jon Favreau", "Jon Favreau, Dave Filoni, Noah Kloor", "Pedro Pascal, Brendan Wayne, Lateef Crowder", "Pedro Pascal, Brendan Wayne, Lateef Crowder, Sigourney Weaver", "USD 165,000,000", "USD 81,670,433", "USD 165,778,973", "USD 315,778,973", "Los Angeles, California, USA", "English", "Dolby Atmos, IMAX 6-Track, Auro 11.1, Dolby Surround 7.1, Dolby Digital, DTS:X, Dolby Surround 5.1", "2.39 : 1", "Color", "0", "3", "Movie", "False", "False", "False"
"Superman", "7", "420359", "https://www.imdb.com/title/tt5950044/", "https://m.media-amazon.com/images/M/MV5BOGMwZGJiM2EtMzEwZC00YTYzLWIxNzYtMmJmZWNlZjgxZTMwXkEyXkFqcGc@._V1_.jpg", "Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the American way he soon finds himself in a world that views these as old-fashioned.", "Action, Adventure, Sci-Fi", "129", "PG-13", "superhero, hero, dc universe, alien, comicbook movie", "US", "35", "UP 60", "James Gunn", "James Gunn, Jerry Siegel, Joe Shuster", "David Corenswet, Rachel Brosnahan, Nicholas Hoult", "David Corenswet, Rachel Brosnahan, Nicholas Hoult, Alan Tudyk", "USD 225,000,000", "USD 125,021,735", "USD 354,223,803", "USD 618,723,803", "Cincinnati, Ohio, USA", "English", "Dolby Atmos, IMAX 6-Track, DTS:X, 12-Track Digital Sound, SDDS, Dolby Surround 7.1, Auro 11.1", "1.85 : 1", "Color", "5", "78", "Movie", "False", "False", "False"
"Remarkably Bright Creatures", "7.7", "36944", "https://www.imdb.com/title/tt33100314/", "https://m.media-amazon.com/images/M/MV5BNzM3OTRlZDktYTk0OS00OTlmLWFhMjctMTZiODU4N2RiYzhhXkEyXkFqcGc@._V1_.jpg", "Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.", "Comedy, Drama", "111", "PG-13", "octopus, reference to slipknot, car breaks down, camper van, loss of son", "US", "24", "DOWN 8", "Olivia Newman", "Olivia Newman, John Whittington, Shelby Van Pelt", "Sally Field, Lewis Pullman, Colm Meaney", "Sally Field, Lewis Pullman, Colm Meaney, Joan Chen", "", "", "", "", "Maple Ridge, British Columbia, Canada", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Send Help", "6.7", "125766", "https://www.imdb.com/title/tt8036976/", "https://m.media-amazon.com/images/M/MV5BOTgxOWY5NTMtYjdiNi00NTIyLTkwMTQtMWNjM2IzYTU0ODgyXkEyXkFqcGc@._V1_.jpg", "An overworked analyst and her arrogant nepo-baby boss survive a plane crash near Thailand and must cooperate to survive on a remote jungle island while their workplace power dynamic collapses around them.", "Adventure, Horror, Thriller", "113", "R", "airplane crash, female rage, castaway, island, stranded on an island", "US", "32", "DOWN 8", "Sam Raimi", "Damian Shannon, Mark Swift", "Rachel McAdams, Dylan O'Brien, Edyll Ismail", "Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert", "USD 40,000,000", "USD 19,102,299", "USD 64,734,795", "USD 94,041,481", "Thailand", "English", "IMAX 6-Track, 12-Track Digital Sound, Dolby Atmos, DTS:X, SDDS", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Apex", "6.1", "91240", "https://www.imdb.com/title/tt16431404/", "https://m.media-amazon.com/images/M/MV5BNjUzODE2ZWYtMDdiMS00ZTA0LWI4MzEtNDkyODNiNmIwMWY1XkEyXkFqcGc@._V1_.jpg", "A mountain climber haunted by a fatal decision in Norway retreats to the Australian wilderness for isolation. Her journey turns into a desperate hunt when a deceptive local targets her as his next ritualistic prey in the bush.", "Action, Thriller", "95", "R", "serial killer, river, survival adventure, climbing, australia", "US", "27", "DOWN 10", "Baltasar Kormákur", "", "Charlize Theron, Taron Egerton, Eric Bana", "Charlize Theron, Taron Egerton, Eric Bana, Matt Whelan", "", "", "", "", "Blue Mountains, New South Wales, Australia", "English", "Dolby Atmos", "2.20 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Song Sung Blue", "7.3", "27457", "https://www.imdb.com/title/tt30343021/", "https://m.media-amazon.com/images/M/MV5BYmQ2YjhjNjgtNGQxNC00NmI0LWEzMjktNWEzMWY2OTUwZjFiXkEyXkFqcGc@._V1_.jpg", "Lightning and Thunder, a Milwaukee husband and wife Neil Diamond tribute act, experience soaring success and devastating heartbreak in their musical journey together.", "Biography, Drama, History", "132", "PG-13", "reference to neil diamond, man wears tighty whities, hairy chest, bare chested male, white briefs", "US", "39", "UP 10", "Craig Brewer", "Craig Brewer, Greg Kohs", "Hugh Jackman, Kate Hudson, Ella Anderson", "Hugh Jackman, Kate Hudson, Ella Anderson, Hudson Hensley", "USD 30,000,000", "USD 7,073,630", "USD 39,185,290", "USD 58,283,022", "Denville, New Jersey, USA", "English", "Dolby Atmos", "1.85 : 1", "Color", "5", "14", "Movie", "False", "False", "False"
"Toy Story 2", "7.9", "672685", "https://www.imdb.com/title/tt0120363/", "https://m.media-amazon.com/images/M/MV5BNzVmODlhMDEtY2YxZi00OTVjLTlkNTktN2Q2OTRlM2I4M2FhXkEyXkFqcGc@._V1_.jpg", "When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.", "Animation, Adventure, Comedy", "92", "G", "toy, toy comes to life, chicken suit, 1990s, toy story", "US", "40", "UP 85", "", "John Lasseter, Pete Docter, Ash Brannon", "Tom Hanks, Tim Allen, Joan Cusack", "Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer", "USD 90,000,000", "USD 300,163", "USD 245,852,179", "USD 497,375,404", "Pixar Animation Studios - 1001 W. Cutting Blvd., Richmond, California, USA", "English", "Dolby Digital EX, DTS-ES, SDDS", "", "", "21", "27", "Movie", "False", "False", "False"
"Heart of the Beast", "0", "0", "https://www.imdb.com/title/tt7526136/", "https://m.media-amazon.com/images/M/MV5BMDVlMTRhMjgtMjdmZi00NjJhLWExMmYtODExNWJkZGZjNjdhXkEyXkFqcGc@._V1_.jpg", "After a harrowing plane crash, a Special Forces officer and his combat dog find themselves stranded deep in the Alaskan wilderness. Together, they are forced into a brutal fight for survival against the elements.", "Action, Adventure, Drama", "0", "", "dog, special forces soldier, army special forces soldier, alaska, combat dog", "US", "41", "DOWN 34", "David Ayer", "", "Brad Pitt, J.K. Simmons, Anna Lambe", "Brad Pitt, J.K. Simmons, Anna Lambe", "", "", "", "", "New Zealand", "English", "", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Shawshank Redemption", "9.3", "3199104", "https://www.imdb.com/title/tt0111161/", "https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg", "A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.", "Drama", "142", "R", "prison, based on the works of stephen king, escape from prison, friendship between men, wrongful conviction", "US", "42", "UP 3", "Frank Darabont", "Stephen King, Frank Darabont", "Tim Robbins, Morgan Freeman, Bob Gunton", "Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler", "USD 25,000,000", "USD 727,327", "USD 28,767,189", "USD 29,422,415", "Butler, Ohio, USA", "English", "Dolby Digital", "1.85 : 1", "Color", "21", "43", "Movie", "False", "False", "False"
"The Housemaid", "6.7", "162831", "https://www.imdb.com/title/tt27543632/", "https://m.media-amazon.com/images/M/MV5BNjZiYjg3YzEtZTkwOS00MWYzLTgxODctNmNhMWU2MTI2YmVjXkEyXkFqcGc@._V1_.jpg", "Millie a struggling young woman becomes live in maid for a wealthy couple Nina and Andrew. She enters a mansion of secrets, manipulation, and escalating psychological games that pull her into a dangerous relationship dynamic.", "Drama, Mystery, Thriller", "131", "R", "abusive relationship, based on novel, psychological thriller, abusive man, abusive husband", "US", "34", "UP 2", "Paul Feig", "Rebecca Sonnenshine, Freida McFadden", "Sydney Sweeney, Amanda Seyfried, Brandon Sklenar", "Sydney Sweeney, Amanda Seyfried, Brandon Sklenar, Peter Colandro", "USD 35,000,000", "USD 19,010,430", "USD 126,432,462", "USD 400,530,884", "Saint Elizabeth University, Morristown, New Jersey, USA", "English, Italian", "Dolby Atmos", "2.39 : 1", "Color", "1", "11", "Movie", "False", "False", "False"
"The Amazing Digital Circus: The Last Act", "7.6", "4866", "https://www.imdb.com/title/tt41635245/", "https://m.media-amazon.com/images/M/MV5BODQ0NzQ2YTYtZDc2NS00YTlmLThjNmYtMWRkN2VkNzI4NWNhXkEyXkFqcGc@._V1_.jpg", "Feature length version of the final two episodes (episode 8 and 9) of The Amazing Digital Circus, showing the conclusion of the cast of characters trapped in a digital realm under the mercy of an unstable ringmaster.", "Animation, Adventure, Comedy", "95", "PG-13", "cg animation, indie animation, psychological thriller, for grown ups animation, chess piece", "US", "44", "DOWN 19", "Gooseworx", "", "Lizzie Freeman, Michael Kovach, Amanda Hufford", "Lizzie Freeman, Michael Kovach, Amanda Hufford, Marissa Lenti", "", "USD 12,392,184", "USD 23,421,793", "USD 36,393,724", "7247 MO-340, Olive Boulevard, St. Louis, Missouri, USA", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Dhurandhar: The Revenge", "8.3", "61937", "https://www.imdb.com/title/tt39139925/", "https://m.media-amazon.com/images/M/MV5BNzdkNjAxNWMtNWY3My00NTI1LTg2YWQtOGI3MDA0NzdhMjEyXkEyXkFqcGc@._V1_.jpg", "Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi&apos;s criminal hierarchy to claim the feared title &quot;Sher-e-Baloch&quot; while balancing loyalty, betrayal, and survival in a ruthless underworld.", "Action, Crime, Thriller", "235", "TV-MA", "spy action, spy thriller, secret identity, gangster crime, gangwar", "IN", "30", "UP 12", "Aditya Dhar", "", "Ranveer Singh, Akshaye Khanna, Sanjay Dutt", "Ranveer Singh, Akshaye Khanna, Sanjay Dutt, Arjun Rampal", "", "USD 10,037,581", "USD 28,100,759", "USD 152,900,759", "", "Hindi", "IMAX 6-Track, Dolby Atmos, 12-Track Digital Sound", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Last House", "0", "0", "https://www.imdb.com/title/tt32268156/", "https://m.media-amazon.com/images/M/MV5BMjI5YTQ3YmItZjk1ZS00ZDBmLWJhZDMtNThhMDI5ZTRkMTcxXkEyXkFqcGc@._V1_.jpg", "A family of four are suddenly sealed inside their home with no way out. They must work together to survive against both their dwindling resources and the mysterious, looming threat that is keeping them trapped.", "Action, Horror, Mystery", "0", "PG-13", "", "GB", "46", "UP 8283", "Louis Leterrier", "", "Greta Lee, Wagner Moura, Sid Edwards", "Greta Lee, Wagner Moura, Sid Edwards, Lewis Goody", "", "", "", "", "London, England, UK", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"The Sheep Detectives", "7.6", "20500", "https://www.imdb.com/title/tt32565993/", "https://m.media-amazon.com/images/M/MV5BNTFmZWI4YmMtNmQ0ZC00ZGQwLTk1OWEtZjAyZmIzOGY0MGFiXkEyXkFqcGc@._V1_.jpg", "Every night a shepherd reads aloud a murder mystery, pretending his sheep can understand. When he is found dead, the sheep realize at once that it was a murder and think they know everything about how to go about solving it.", "Comedy, Family, Mystery", "109", "PG", "whodunnit mystery, whodunit, animals family, sheep, shepherd", "IE", "29", "DOWN 11", "Kyle Balda", "Craig Mazin, Leonie Swann", "Hugh Jackman, Brett Goldstein, Patrick Stewart", "Hugh Jackman, Brett Goldstein, Patrick Stewart, Regina Hall", "USD 75,000,000", "USD 15,087,796", "USD 62,644,388", "USD 122,144,388", "Shepperton Studios, Surrey, England, UK", "English", "Dolby Digital, Dolby Atmos", "2.00 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"The Devil Wears Prada 2", "6.6", "59321", "https://www.imdb.com/title/tt33612209/", "https://m.media-amazon.com/images/M/MV5BZmM3ZDU3ODItZmY5Yi00OTQ2LWE5OTctZTA5NDBhMWJkOGY3XkEyXkFqcGc@._V1_.jpg", "Andy Sachs reunites with Miranda Priestly as they navigate their careers amid the decline of traditional magazine publishing.", "Comedy, Drama", "119", "PG-13", "new york city, sequel, journalist, dior, fashion magazine", "US", "35", "DOWN 7", "David Frankel", "Aline Brosh McKenna, Lauren Weisberger", "Meryl Streep, Anne Hathaway, Emily Blunt", "Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci", "USD 100,000,000", "USD 76,747,075", "USD 218,034,560", "USD 676,134,560", "Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA", "English, Italian, French", "Dolby Atmos", "2.39 : 1", "Color", "1", "4", "Movie", "False", "False", "False"
"Girls Like Girls", "7", "390", "https://www.imdb.com/title/tt32432654/", "https://m.media-amazon.com/images/M/MV5BNzAwYmRjMzMtNTdkNC00Yzk5LTllZDYtMWRiZGZkNWY2NzMwXkEyXkFqcGc@._V1_.jpg", "Coley, 17, from rural Oregon, navigates intimacy after her mother&apos;s passing. Meeting Sonya sparks new feelings, but self-doubt hinders their connection. Sonya, unfamiliar with dating girls, is uncertain. They learn to embrace emot...", "Drama", "95", "R", "17 year old, oregon, teenage girl, coming of age, crying", "US", "49", "UP 201", "Hayley Kiyoko", "Hayley Kiyoko, Stefanie Scott, Chloe Okuno", "Maya da Costa, Myra Molloy, Zach Braff", "Maya da Costa, Myra Molloy, Zach Braff, Levon Hawke", "", "USD 1,600,000", "USD 1,600,000", "USD 1,600,000", "Kelowna, British Columbia, Canada", "English", "", "1.66 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Dark Knight", "9.1", "3179920", "https://www.imdb.com/title/tt0468569/", "https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg", "When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.", "Crime, Thriller", "152", "PG-13", "psychopath, moral dilemma, superhero, clown, criminal mastermind", "US", "70", "UP 10", "Christopher Nolan", "Jonathan Nolan, Christopher Nolan, David S. Goyer", "Christian Bale, Heath Ledger, Aaron Eckhart", "Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine", "USD 185,000,000", "USD 158,411,483", "USD 534,987,076", "USD 1,008,480,203", "Chicago, Illinois, USA", "English, Mandarin", "Dolby Digital, SDDS, DTS", "", "Color", "163", "165", "Movie", "False", "False", "False"
"Gunche", "6.9", "2684", "https://www.imdb.com/title/tt34385135/", "https://m.media-amazon.com/images/M/MV5BMDgwNzhmMjItMDhlYi00ODdlLWI1NjUtZDgxZGMzMGU5MmM4XkEyXkFqcGc@._V1_.jpg", "Professor Se Jeong attends a biotech conference, only to witness it spiral into catastrophe when a rapidly mutating virus is unleashed. As the outbreak spreads and the infected begin to transform, authorities seal off the entire f...", "Action, Adventure, Crime", "122", "R", "zombie horror, virus, mall, survivor, biotechnology", "KR", "58", "UP 2", "Yeon Sang-ho", "Choi Kyu-seok, Yeon Sang-ho", "Jun Ji-hyun, Koo Kyo-hwan, Ji Chang-wook", "Jun Ji-hyun, Koo Kyo-hwan, Ji Chang-wook, Kim Shin-rock", "KRW 17,000,000,000", "", "", "USD 35,453,283", "Dangjin, Chungcheongnam-do, South Korea", "Korean", "Dolby Digital", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Welcome to the Jungle", "0", "0", "https://www.imdb.com/title/tt28540171/", "https://m.media-amazon.com/images/M/MV5BMTY5ODUxNDctZGJjNC00OTk0LWIzMzAtMWQ5NTAyMGZhY2NmXkEyXkFqcGc@._V1_.jpg", "Police officers Jay Bakshi and Sandhya hunt notorious criminal Raj Solanki, but Jai discovers Raj has an important connection to his own life.", "Action, Adventure, Comedy", "170", "", "jungle adventure, jungle, forest, criminal, military", "IN", "52", "UP 16", "Ahmed Khan", "", "Akshay Kumar, Suniel Shetty, Disha Patani", "Akshay Kumar, Suniel Shetty, Disha Patani, Jacqueline Fernandez", "", "", "", "", "", "Hindi", "Dolby Digital", "", "Color", "0", "0", "Movie", "False", "False", "False"
"The Drama", "7.2", "76454", "https://www.imdb.com/title/tt33071426/", "https://m.media-amazon.com/images/M/MV5BMTcwOGZhYmItYTg3ZS00NjUwLWJiMmQtMjU5YjEwYWY0NmNkXkEyXkFqcGc@._V1_.jpg", "A happily-engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.", "Comedy, Drama, Romance", "105", "R", "dark comedy, man performs oral sex on a woman, reference to heroin, wedding plans, diet coke", "US", "46", "DOWN 5", "Kristoffer Borgli", "", "Zendaya, Robert Pattinson, Alana Haim", "Zendaya, Robert Pattinson, Alana Haim, Mamoudou Athie", "USD 28,000,000", "USD 14,380,197", "USD 48,062,006", "USD 131,682,935", "Boston, Massachusetts, USA", "English", "Dolby Digital, Dolby Atmos", "1.85 : 1", "Color", "0", "3", "Movie", "False", "False", "False"
"The Mummy", "6.2", "41330", "https://www.imdb.com/title/tt32612507/", "https://m.media-amazon.com/images/M/MV5BNWQ1NzI2YTUtN2E0ZS00YzVmLTkxNjktMWIzNTYwMzkyOTU0XkEyXkFqcGc@._V1_.jpg", "The young daughter of a journalist disappears into the desert without a trace. Eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.", "Horror", "134", "R", "egypt, egyptian, mummified body, creepy child, possessed woman", "IE", "41", "DOWN 11", "Lee Cronin", "", "Jack Reynor, Laia Costa, May Calamawy", "Jack Reynor, Laia Costa, May Calamawy, Natalie Grace", "USD 22,000,000", "USD 13,517,172", "USD 29,152,113", "USD 90,452,113", "Ardmore Studios - Herbert Rd, Killarney, Bray, Co. Wicklow, Ireland", "English, Spanish, Arabic", "IMAX 6-Track, Dolby Atmos, Dolby Digital", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Moana", "0", "0", "https://www.imdb.com/title/tt27419466/", "https://m.media-amazon.com/images/M/MV5BMTQ1OTQ2Y2UtMzllNS00ODFiLWFkNGItNGRjOWRlMjIwNTRlXkEyXkFqcGc@._V1_.jpg", "Live-action adaptation of the 2016 Disney animated film &apos;Moana.&apos;", "Action, Adventure, Comedy", "115", "PG", "disney live action remake of animated film, live action adaptation, remake, live action remake, island", "NZ", "55", "UP 6", "Thomas Kail", "Jared Bush, Dana Ledoux Miller, Ron Clements", "Catherine Laga'aia, Dwayne Johnson, John Tui", "Catherine Laga'aia, Dwayne Johnson, John Tui, Frankie Adams", "", "", "", "", "Oahu, Hawaii, USA", "English", "IMAX 6-Track, Dolby Atmos, Dolby Digital", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Jack Ryan: Ghost War", "5.7", "26050", "https://www.imdb.com/title/tt34378301/", "https://m.media-amazon.com/images/M/MV5BZGY2MDU2Y2YtOTkzNC00MTY4LThkODYtNWIxNmRlZmRjZWJlXkEyXkFqcGc@._V1_.jpg", "Follows Jack Ryan who reunites with CIA operatives to navigate a treacherous web of betrayal against an enemy who knows their every move, facing a past they thought was long put to rest.", "Action, Drama, Thriller", "105", "R", "spy, new york city, jogging, foot chase, cia director", "US", "33", "DOWN 14", "Andrew Bernstein", "Aaron Rabin, John Krasinski, Noah Oppenheim", "John Krasinski, Wendell Pierce, Sienna Miller", "John Krasinski, Wendell Pierce, Sienna Miller, Michael Kelly", "", "", "", "", "Royal Naval College, Greenwich, UK", "English", "Dolby Digital, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Ladies First", "5.8", "26701", "https://www.imdb.com/title/tt34611082/", "https://m.media-amazon.com/images/M/MV5BNjBhMjk2NmQtY2JhOC00OTIzLTkzZjItNjA2NWM3OTkzNzA5XkEyXkFqcGc@._V1_.jpg", "A male chauvinist is transported to a matriarchal society, facing challenges from a formidable female version of himself.", "Comedy", "90", "R", "film adaptation, north american adaptation of french source material, american adaptation of french source material, american adaptation of european source material, adaptation", "US", "28", "DOWN 14", "Thea Sharrock", "Natalie Krinsky, Cinco Paul, Katie Silberman", "Sacha Baron Cohen, Rosamund Pike, Tom Davis", "Sacha Baron Cohen, Rosamund Pike, Tom Davis, Emily Mortimer", "", "", "", "", "", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Bhooth Bangla", "5.2", "21516", "https://www.imdb.com/title/tt29540862/", "https://m.media-amazon.com/images/M/MV5BN2Y3NjRhYmMtNWVjMy00ZmE1LWJkNGYtNDY3Y2I3NjkzOGE0XkEyXkFqcGc@._V1_.jpg", "Arjun Acharya inherits a cursed ancestral palace in Mangalpur, deciding to host his sister Meera&apos;s destination wedding there, which inadvertently triggers a violent supernatural awakening tied to their dark family history.", "Comedy, Horror", "173", "", "horror comedy, haunted house, navaratri", "IN", "58", "DOWN 38", "Priyadarshan", "Aakash Kaushik, Abilash Nair, Priyadarshan", "Akshay Kumar, Tabu, Paresh Rawal", "Akshay Kumar, Tabu, Paresh Rawal, Wamiqa Gabbi", "INR 1,500,000,000", "USD 950,000", "USD 2,168,456", "USD 4,912,634", "Southampton, England, UK", "Hindi", "Dolby Atmos", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
"Interstellar", "8.7", "2546724", "https://www.imdb.com/title/tt0816692/", "https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg", "In a dystopian future where Earth has become near-uninhabitable, a team of astronauts embark on a mission to find a new home for humanity.", "Adventure, Drama, Sci-Fi", "169", "PG-13", "saving the world, astronaut, space travel, father daughter relationship, wormhole", "US", "59", "UP 2", "Christopher Nolan", "Jonathan Nolan, Christopher Nolan", "Matthew McConaughey, Anne Hathaway, Jessica Chastain", "Matthew McConaughey, Anne Hathaway, Jessica Chastain, Ellen Burstyn", "USD 165,000,000", "USD 47,510,360", "USD 203,227,580", "USD 774,676,188", "Iceland", "English", "Datasat, Dolby Digital, IMAX 6-Track, Dolby Surround 7.1, Dolby Atmos, Auro 11.1", "", "Color", "45", "148", "Movie", "False", "False", "False"
"Shelter", "6.2", "35222", "https://www.imdb.com/title/tt32357218/", "https://m.media-amazon.com/images/M/MV5BMzI2ODY3MzQtYzllNy00YWM1LWExZTgtOGIwNjk2MmE2MmY2XkEyXkFqcGc@._V1_.jpg", "A reclusive former government assassin finds his forced isolation shattered when a stranded supply girl triggers a lethal tracking system, forcing him to defend her against his old handler&apos;s relentless execution squads.", "Action, Thriller", "107", "R", "one word title, assassin, one person army action, hebrides, 2020s", "GB", "37", "UP 7", "Ric Roman Waugh", "", "Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer", "Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly", "USD 50,000,000", "USD 5,531,028", "USD 12,805,541", "USD 54,500,125", "Puente Nuevo, El Tajo Gorge, Ronda, Málaga, Spain", "English", "", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Shrek 5", "0", "0", "https://www.imdb.com/title/tt6113186/", "https://m.media-amazon.com/images/M/MV5BNmNkNmRkNDAtOTMzNC00MWYzLWJhNjMtYjNkZTNjODVhOTg2XkEyXkFqcGc@._V1_.jpg", "Shrek and Donkey team up for another whirlwind, big-city adventure, while introducing Shrek and Fiona&apos;s three children.", "Animation, Adventure, Comedy", "0", "", "dreamworks, cgi animation, ogre, shrek franchise, fifth part", "US", "61", "UP 1673", "", "Michael McCullers, Christopher Meledandri, William Steig", "Mike Myers, Cameron Diaz, Eddie Murphy", "Mike Myers, Cameron Diaz, Eddie Murphy, Skyler Gisondo", "", "", "", "", "", "English", "", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Busboys", "4.4", "1372", "https://www.imdb.com/title/tt34705112/", "https://m.media-amazon.com/images/M/MV5BZTNiNzA4YWYtMjgxMy00NzJhLWJkMjQtMGMxZjA4N2VlNGU3XkEyXkFqcGc@._V1_.jpg", "A pair of idiot friends believe that if they become waiters, all of their problems will be solved. They aren&apos;t entirely wrong, but they aren&apos;t entirely right.", "Comedy", "97", "R", "", "US", "62", "UP 2595", "Jonah Feingold", "David Spade, Theo Von", "David Spade, Theo Von, Jimmy Gonzales", "David Spade, Theo Von, Jimmy Gonzales, Leah McKendrick", "", "USD 1,650,000", "USD 2,607,503", "USD 2,653,796", "Brockton, Massachusetts, USA", "English", "", "", "Color", "0", "1", "Movie", "False", "False", "False"
