name, link, rating, votes, year, releaseDate, genres, runtime, plot, image, imageCaption, metascore, certificate, status, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"The Drama", "https://www.imdb.com/title/tt33071426/", "7.2", "85264", "2026", "3/4/2026", "Comedy, Drama, Romance", "6300", "A happily-engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.", "https://m.media-amazon.com/images/M/MV5BMTcwOGZhYmItYTg3ZS00NjUwLWJiMmQtMjU5YjEwYWY0NmNkXkEyXkFqcGc@._V1_.jpg", "Robert Pattinson and Zendaya in The Drama (2026)", "59", "R", "Released", "dark comedy, man performs oral sex on a woman, reference to heroin, wedding plans, diet coke", "US", "58", "DOWN 6", "Kristoffer Borgli", "", "Zendaya, Robert Pattinson, Alana Haim", "Zendaya, Robert Pattinson, Alana Haim, Mamoudou Athie", "USD 28,000,000", "USD 14,380,197", "USD 48,062,006", "USD 132,218,241", "Boston, Massachusetts, USA", "English", "Dolby Digital, Dolby Atmos", "1.85 : 1", "Color", "0", "7", "Movie", "False", "False", "False"
"Avatar Aang: The Last Airbender", "https://www.imdb.com/title/tt18259538/", "0", "0", "2026", "25/7/2026", "Animation, Action, Adventure", "5940", "Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands.", "https://m.media-amazon.com/images/M/MV5BZGQzMzIzODAtZjc5Ni00ODRkLTlhMzMtNTVkOTI4MjBhNWEyXkEyXkFqcGc@._V1_.jpg", "Dionne Quan, Dave Bautista, Steven Yeun, Jessica Matten, Román Zaragoza, and Eric Nam in Avatar Aang: The Last Airbender (2026)", "", "PG", "Completed", "aang character, based on tv series, number 1 in title, digit in title, number in title", "US", "95", "UP 2", "", "Kenneth Lin, Michael Dante DiMartino, Tim Hedrick", "Eric Nam, Dave Bautista, Jessica Matten", "Eric Nam, Dave Bautista, Jessica Matten, Román Zaragoza", "", "", "", "", "Sydney, New South Wales, Australia", "English", "Dolby Digital, Dolby Atmos, IMAX 5.0", "2.35 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Gail Daughtry and the Celebrity Sex Pass", "https://www.imdb.com/title/tt36834010/", "6.8", "1059", "2026", "10/7/2026", "Comedy", "5580", "When her fiancé uses their "celebrity pass" agreement, Midwest bride Gail Daughtry travels to Hollywood seeking revenge by pursuing her own celebrity encounter.", "https://m.media-amazon.com/images/M/MV5BZTFjOGJhNzEtMWUxMC00Yjc1LWE1MTUtODc4Yzk3MzVjMWUyXkEyXkFqcGc@._V1_.jpg", "Jon Hamm, Sabrina Impacciatore, Thomas Lennon, Joe Lo Truglio, Ken Marino, Fred Melamed, John Slattery, Mather Zickel, Miles Gutierrez-Riley, Ben Wang, Michael Cassidy, Zoey Deutch, and Tobie Windham in Gail Daughtry and the Celebrity Sex Pass (2026)", "66", "R", "Released", "", "US", "38", "UP 66", "David Wain", "Ken Marino, David Wain", "Zoey Deutch, Fred Melamed, Michael Cassidy", "Zoey Deutch, Fred Melamed, Michael Cassidy, Mo Gaffney", "", "USD 953,724", "USD 953,724", "USD 953,724", "Santa Clarita, California, USA", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Dhamaal 4", "https://www.imdb.com/title/tt27548557/", "8.1", "24977", "2026", "10/7/2026", "Action, Adventure, Comedy", "8580", "The Dhamaal boys are back and ready to chase the "Treasure of Life," facing crazy challenges along the way. What starts as a treasure hunt quickly turns into a rollercoaster of hilarious misadventures.", "https://m.media-amazon.com/images/M/MV5BNTI2YTA2YzktMGUwOS00Njk3LWE0M2MtNDE4YTljNDdjNjNlXkEyXkFqcGc@._V1_.jpg", "Ajay Devgn, Indra Kumar, Jaaved Jaaferi, Arshad Warsi, Ravi Kishan, Krishan Kumar, Sanjay Mishra, Bhushan Kumar, Sanjeeda Sheikh, Riteish Deshmukh, Vijay Patkar, Upendra Limaye, Esha Gupta, and Anjali Anand in Dhamaal 4 (2026)", "", "", "Released", "quest adventure, sea adventure", "IN", "39", "UP 2541", "Indra Kumar", "Paritosh Painter, Vedd Prakash, Bunty Rathore", "Arshad Warsi, Ajay Devgn, Riteish Deshmukh", "Arshad Warsi, Ajay Devgn, Riteish Deshmukh, Anjali Anand", "", "", "", "", "", "Hindi", "Dolby Atmos, Dolby Digital", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
"Little Brother", "https://www.imdb.com/title/tt34888871/", "5.5", "10358", "2026", "26/6/2026", "Comedy", "6120", "A famous real estate agent's life is disrupted when his eccentric little brother unexpectedly reappears.", "https://m.media-amazon.com/images/M/MV5BNDVmOWNhNWYtM2Y1MS00MWFjLTlkNTctMTRkNmMxM2UwODZlXkEyXkFqcGc@._V1_.jpg", "John Cena and Eric André in Little Brother (2026)", "52", "R", "Released", "female nudity, outdoor nudity, male full frontal nudity, sex scene, buddy comedy", "US", "42", "DOWN 22", "Matt Spicer", "Jarrad Paul, Andrew Mogel", "John Cena, Eric André, Michelle Monaghan", "John Cena, Eric André, Michelle Monaghan, Christopher Meloni", "", "", "", "", "New York City, New York, USA", "English", "Dolby Atmos", "1.85 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Alpha", "https://www.imdb.com/title/tt28363783/", "3.1", "23137", "2026", "3/7/2026", "Action, Adventure, Thriller", "8460", "Driven by revenge, a young girl destroys anyone in her path until her journey uncovers the hidden truths of her own life. She is bold, cold, and ready to cross any line, hurting anyone who stands in her way.", "https://m.media-amazon.com/images/M/MV5BOGQ1NzJlYzQtOTA0Yy00N2RiLTlkY2UtZWJlNzlmMzFmZjk0XkEyXkFqcGc@._V1_.jpg", "Alia Bhatt and Sharvari in Alpha (2026)", "", "", "Released", "spy, yrf spy universe, spy action, yash raj films spy universe", "IN", "44", "DOWN 18", "Shiv Rawail", "Uday Chopra, Ishita Moitra, Shridhar Raghavan", "Alia Bhatt, Sharvari, Anil Kapoor", "Alia Bhatt, Sharvari, Anil Kapoor, Bobby Deol", "", "", "", "USD 405,237", "Valladolid, Spain", "Hindi, Tamil, Telugu", "Dolby Digital, Dolby Atmos", "2.39:1", "Color", "0", "2", "Movie", "False", "False", "False"
"The Death of Robin Hood", "https://www.imdb.com/title/tt32273171/", "6.2", "6076", "2026", "19/6/2026", "Action, Adventure, Drama", "7320", "Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.", "https://m.media-amazon.com/images/M/MV5BYTRmNzlmZjEtYjkzMC00MmNjLThiOGYtZjM5MjFiZDQyM2IwXkEyXkFqcGc@._V1_.jpg", "Hugh Jackman in The Death of Robin Hood (2026)", "60", "R", "Released", "robin hood character, folk horror, 13th century, five word title, snowstorm", "US", "45", "DOWN 16", "Michael Sarnoski", "", "Hugh Jackman, Jodie Comer, Bill Skarsgård", "Hugh Jackman, Jodie Comer, Bill Skarsgård, Jade Croot", "", "USD 2,867,662", "USD 5,256,057", "USD 6,625,127", "Northern Ireland, UK", "English", "Dolby Surround 7.1, Dolby Surround 5.1, Dolby Atmos", "1.66 : 1, 1.78 : 1, 2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Scary Movie", "https://www.imdb.com/title/tt32093575/", "5.2", "32350", "2026", "5/6/2026", "Comedy, Horror", "5760", "Two friends find themselves caught up in mayhem involving killers, monsters and supernatural creatures once again.", "https://m.media-amazon.com/images/M/MV5BNTJjMDk1NzAtMGVmNS00NTFmLWFlOTQtZDk5M2I2NjZiZDdlXkEyXkFqcGc@._V1_.jpg", "Marlon Wayans, Chris Elliott, Anna Faris, Regina Hall, Cheri Oteri, Dave Sheridan, Shawn Wayans, Sydney Park, Gregg Wayans, Olivia Rose Keegan, Savannah Lee Nassif, and Cameron Scott Roberts in Scary Movie (2026)", "38", "R", "Released", "crude humor comedy, slasher horror, diaper wearing woman, pubic hair, raunchy comedy", "US", "30", "DOWN 9", "Michael Tiddes", "Marlon Wayans, Shawn Wayans, Keenen Ivory Wayans", "Marlon Wayans, Shawn Wayans, Anna Faris", "Marlon Wayans, Shawn Wayans, Anna Faris, Regina Hall", "USD 30,000,000", "USD 54,336,626", "USD 106,962,890", "USD 225,297,862", "Tyler Perry Studios, Atlanta, Georgia, USA", "English", "Dolby Digital, Dolby Atmos", "2.39 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Send Help", "https://www.imdb.com/title/tt8036976/", "6.7", "135234", "2026", "30/1/2026", "Adventure, Horror, Thriller", "6780", "An overworked analyst and her arrogant nepo-baby boss survive a plane crash near Thailand and must cooperate to survive on a remote jungle island while their workplace power dynamic collapses around them.", "https://m.media-amazon.com/images/M/MV5BOTgxOWY5NTMtYjdiNi00NTIyLTkwMTQtMWNjM2IzYTU0ODgyXkEyXkFqcGc@._V1_.jpg", "Rachel McAdams and Dylan O'Brien in Send Help (2026)", "75", "R", "Released", "airplane crash, female rage, castaway, island, stranded on an island", "US", "46", "UP 5", "Sam Raimi", "Damian Shannon, Mark Swift", "Rachel McAdams, Dylan O'Brien, Edyll Ismail", "Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert", "USD 40,000,000", "USD 19,102,299", "USD 64,734,795", "USD 94,041,481", "Thailand", "English", "IMAX 6-Track, 12-Track Digital Sound, Dolby Atmos, DTS:X, SDDS", "2.39 : 1", "Color", "0", "6", "Movie", "False", "False", "False"
"They Will Kill You", "https://www.imdb.com/title/tt31728330/", "6.3", "42110", "2026", "27/3/2026", "Action, Comedy, Horror", "5640", "A woman takes a job as a housekeeper in a NYC high-rise, unaware of the building's history of disappearances. She soon realizes the community is shrouded in mystery.", "https://m.media-amazon.com/images/M/MV5BODIzZGNhNGUtOWM2My00ODM4LThmOWQtNTkzMzYwMTZhYzU1XkEyXkFqcGc@._V1_.jpg", "Patricia Arquette, Heather Graham, Tom Felton, Paterson Joseph, Zazie Beetz, and Myha'la in They Will Kill You (2026)", "50", "R", "Released", "female protagonist, horror comedy, one person army action, splatter horror, dark comedy", "US", "50", "DOWN 5", "Kirill Sokolov", "Kirill Sokolov, Alex Litvak", "Zazie Beetz, Patricia Arquette, Myha'la", "Zazie Beetz, Patricia Arquette, Myha'la, Paterson Joseph", "USD 20,000,000", "USD 4,970,938", "USD 10,882,152", "USD 19,382,152", "Cape Town, South Africa", "English", "Dolby Digital, Dolby Atmos", "2.20 : 1", "Color", "0", "3", "Movie", "False", "False", "False"
"In the Grey", "https://www.imdb.com/title/tt27681354/", "6.3", "27777", "2026", "15/5/2026", "Action, Drama, Thriller", "5880", "A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back-an impossible heist that erupts into a deadly game of strategy, deception and survival.", "https://m.media-amazon.com/images/M/MV5BMTZkMTIzMTItMTQwZS00MTg4LWE0MTEtM2NiNmUzYjRmMGUxXkEyXkFqcGc@._V1_.jpg", "Henry Cavill, Jake Gyllenhaal, and Eiza González in In the Grey (2026)", "53", "R", "Released", "escape, jeddah saudi arabia, asset seizure, caper, self sacrifice", "GB", "43", "DOWN 8", "Guy Ritchie", "", "Henry Cavill, Jake Gyllenhaal, Eiza González", "Henry Cavill, Jake Gyllenhaal, Eiza González, Carlos Bardem", "", "USD 2,926,879", "USD 5,723,890", "USD 26,982,558", "Tenerife, Canary Islands, Spain", "English", "Dolby Atmos, Dolby Digital", "2.39 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"Black Box", "https://www.imdb.com/title/tt32315584/", "5", "1416", "2026", "7/7/2026", "Horror, Sci-Fi, Thriller", "5100", "Vero Airlines Flight 298 from New Orleans to Seattle becomes the center of a chilling supernatural mystery.", "https://m.media-amazon.com/images/M/MV5BNmFiZTE1YzAtZjUwOC00NTFhLWFkZDgtMWY4NTRmNjNjODhiXkEyXkFqcGc@._V1_.jpg", "Black Box (2026)", "", "R", "Released", "tentacled alien, cosmic horror, lovecraftian, alien invasion sci fi, flight attendant", "US", "53", "UP 715", "Steven Quale", "", "Tom Brittney, Holly White, Betsy-Blue English", "Tom Brittney, Holly White, Betsy-Blue English, Dane Whyte O'Hara", "USD 10,000,000", "", "", "USD 224,611", "Sofia, Bulgaria", "English", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Boulevard", "https://www.imdb.com/title/tt38235625/", "4.8", "634", "2026", "10/4/2026", "Drama, Romance", "6720", "Two high school outcasts find unexpected connection despite their personal demons. As Halsey battles addiction and Luke confronts his own darkness, their growing feelings force them to question if love is worth the risk.", "https://m.media-amazon.com/images/M/MV5BNDZmNGU2NGMtMTNkOC00MTk5LTlkN2EtYWQxZTRmMDcxMDYwXkEyXkFqcGc@._V1_.jpg", "Boulevard (2026)", "", "R", "Released", "disco party, newcomer in town, joint, teen drama, van", "ES", "54", "UP 5493", "Sonia Méndez", "Flor M. Salvador, Javier Ruescas", "Eve Ryan, Mikel Niso, Paula García Lara", "Eve Ryan, Mikel Niso, Paula García Lara, Jesús Martín", "", "USD 8,681", "USD 13,853", "USD 3,628,526", "Bilbao, Vizcaya, País Vasco, Spain", "Spanish", "", "2.00 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Hokum", "https://www.imdb.com/title/tt35672862/", "6.7", "46112", "2026", "1/5/2026", "Horror, Thriller", "6420", "A horror writer visits an Irish inn to scatter his parents' ashes, unaware the property is said to be haunted by a witch.", "https://m.media-amazon.com/images/M/MV5BZjA1ZjFlZGItNTVjZC00NTFhLTg2YTEtODMzODRmNGFiNTdmXkEyXkFqcGc@._V1_.jpg", "Adam Scott in Hokum (2026)", "76", "R", "Released", "haunted hotel room, hotel, supernatural horror, psychological horror, witch horror", "IE", "50", "DOWN 2", "Damian McCarthy", "", "Adam Scott, Peter Coonan, David Wilmot", "Adam Scott, Peter Coonan, David Wilmot, Austin Amelio", "", "USD 6,428,305", "USD 17,000,014", "USD 24,063,412", "Skibbereen, Co. Cork, Ireland", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "6", "Movie", "False", "False", "False"
"Pressure", "https://www.imdb.com/title/tt32547691/", "7.3", "14318", "2026", "29/5/2026", "Drama, History, Thriller", "6000", "In the tense 72 hours before D-Day, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice--launch the most dangerous seaborne invasion in history or risk losing the war altogether.", "https://m.media-amazon.com/images/M/MV5BMjE2YjdkNDctMDg1MS00MjBjLWIyZjEtZWM1ZjczNTAzZGEyXkEyXkFqcGc@._V1_.jpg", "Brendan Fraser and Andrew Scott in Pressure (2026)", "69", "PG-13", "Released", "world war two, seaborne invasion, invasion, d day, bloody water", "GB", "38", "DOWN 15", "Anthony Maras", "David Haig, Anthony Maras", "Andrew Scott, Brendan Fraser, Kerry Condon", "Andrew Scott, Brendan Fraser, Kerry Condon, Chris Messina", "", "USD 5,811,480", "USD 15,569,855", "USD 18,896,307", "Camber Sands, Camber, East Sussex, England, UK", "English", "", "1.85 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"Remarkably Bright Creatures", "https://www.imdb.com/title/tt33100314/", "7.7", "41351", "2026", "8/5/2026", "Comedy, Drama", "6660", "Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.", "https://m.media-amazon.com/images/M/MV5BNzM3OTRlZDktYTk0OS00OTlmLWFhMjctMTZiODU4N2RiYzhhXkEyXkFqcGc@._V1_.jpg", "Sally Field, Alfred Molina, and Lewis Pullman in Remarkably Bright Creatures (2026)", "55", "PG-13", "Released", "cornhole, octopus, car ride, bar, car breaks down", "US", "65", "DOWN 16", "Olivia Newman", "Olivia Newman, John Whittington, Shelby Van Pelt", "Sally Field, Lewis Pullman, Colm Meaney", "Sally Field, Lewis Pullman, Colm Meaney, Joan Chen", "", "", "", "", "Maple Ridge, British Columbia, Canada", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "7", "Movie", "False", "False", "False"
"Over Your Dead Body", "https://www.imdb.com/title/tt34685692/", "6.3", "24622", "2026", "24/4/2026", "Action, Comedy, Thriller", "6300", "A dysfunctional married couple retreats to a secluded cabin to repair their relationship, but each secretly plots to murder the other.", "https://m.media-amazon.com/images/M/MV5BMWU2M2YyNTMtZGM4ZC00MDcwLWI3NmItZWM0YjIyOTEyNDZhXkEyXkFqcGc@._V1_.jpg", "Juliette Lewis, Timothy Olyphant, Jason Segel, Keith Jardine, and Samara Weaving in Over Your Dead Body (2026)", "51", "R", "Released", "dark comedy, lawnmower, red pepper corn, eating a steak, reference to idaho", "US", "52", "DOWN 10", "Jorma Taccone", "Tommy Wirkola, Nick Ball, John Niven", "Samara Weaving, Jason Segel, Timothy Olyphant", "Samara Weaving, Jason Segel, Timothy Olyphant, Nikolai Kinski", "", "USD 1,393,356", "USD 2,154,696", "USD 2,443,515", "Tampere, Finland", "English", "Dolby Digital", "2.39 : 1", "Color", "1", "0", "Movie", "False", "False", "False"
"How to Make a Killing", "https://www.imdb.com/title/tt4357198/", "6.5", "34665", "2026", "20/2/2026", "Comedy, Drama, Thriller", "6300", "Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.", "https://m.media-amazon.com/images/M/MV5BOTkwY2JjMWYtOGU4YS00ZTg0LWIzYzUtZDkxNDE5NWNkNWM1XkEyXkFqcGc@._V1_.jpg", "Glen Powell in How to Make a Killing (2026)", "49", "R", "Released", "family relationships, young, caper crime, satire comedy, dark comedy", "GB", "63", "DOWN 3", "John Patton Ford", "John Patton Ford, Robert Hamer, John Dighton", "Glen Powell, Margaret Qualley, Jessica Henwick", "Glen Powell, Margaret Qualley, Jessica Henwick, Adrian Lukis", "", "USD 3,488,298", "USD 7,851,600", "USD 21,637,139", "Cape Town, South Africa", "English", "", "2.39 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Avengers: Doomsday", "https://www.imdb.com/title/tt21357150/", "0", "0", "2026", "18/12/2026", "Action, Adventure, Sci-Fi", "9900", "Heroes from three different worlds must unite when they're thrust together to confront a catastrophic danger that could destroy everything they know.", "https://m.media-amazon.com/images/M/MV5BM2E1ZTJiZTgtZGI2Zi00MzAxLThhZjktMmU3M2E3Yzk3NjUxXkEyXkFqcGc@._V1_.jpg", "Greg D'Agostino in Avengers: Doomsday (2026)", "", "", "Post-production", "army, doctor doom character, sequel, fifth part, based on comic book", "US", "66", "UP 37", "", "Jack Kirby, Stan Lee, Stephen McFeely", "Robert Downey Jr., Pedro Pascal, Chris Hemsworth", "Robert Downey Jr., Pedro Pascal, Chris Hemsworth, Vanessa Kirby", "", "", "", "", "London, England, UK", "English", "Dolby Atmos, IMAX 6-Track, 12-Track Digital Sound, Dolby Surround 7.1", "2.39 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Mortal Kombat II", "https://www.imdb.com/title/tt17490712/", "6.4", "60944", "2026", "8/5/2026", "Action, Adventure, Fantasy", "6960", "The fan favorite champions -- now joined by Johnny Cage himself -- are pitted against one another in the ultimate battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.", "https://m.media-amazon.com/images/M/MV5BNTg2YWNkN2EtMzc1Ny00ZTBhLWFmYTItMmMyNzhjNjhhNmVhXkEyXkFqcGc@._V1_.jpg", "Tadanobu Asano, Damon Herriman, Josh Lawson, Hiroyuki Sanada, Karl Urban, Ana Thu Nguyen, CJ Bloomfield, Lewis Tan, Mehcad Brooks, Chin Han, Jessica McNamee, Joe Taslim, Ludi Lin, Desmond Chiam, Max Huang, Tati Gabrielle, Martyn Ford, and Adeline Rudolph in Mortal Kombat II (2026)", "46", "R", "Released", "mortal kombat, based on video game, martial arts, dark fantasy, sequel", "US", "49", "DOWN 12", "Simon McQuoid", "Jeremy Slater, Ed Boon, John Tobias", "Adeline Rudolph, Karl Urban, Martyn Ford", "Adeline Rudolph, Karl Urban, Martyn Ford, Tati Gabrielle", "USD 80,000,000", "USD 38,501,177", "USD 79,753,184", "USD 129,453,184", "Village Roadshow Studios, Oxenford, Queensland, Australia", "English, Spanish", "Dolby Digital, Dolby Surround 7.1, IMAX 6-Track, Auro 11.1, Dolby Atmos", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Leviticus", "https://www.imdb.com/title/tt39143902/", "6.8", "5464", "2026", "19/6/2026", "Horror, Romance, Sci-Fi", "5280", "Two teenage boys must escape a violent entity that takes the form of the person they desire most - each other.", "https://m.media-amazon.com/images/M/MV5BZjVkZjIxMzItMzYyMi00ODMwLWEwMWQtMjhhMTkwMGI5MWEyXkEyXkFqcGc@._V1_.jpg", "Stacy Clausen and Joe Bird in Leviticus (2026)", "83", "R", "Released", "gay, gay interest, gay teenager, gay protagonist, homophobia", "AU", "68", "DOWN 13", "Adrian Chiarella", "", "Tyallah Bullock, Stacy Clausen, Joe Bird", "Tyallah Bullock, Stacy Clausen, Joe Bird, Ewen Leslie", "", "USD 2,610,696", "USD 7,040,762", "USD 8,200,063", "Ballarat, Victoria, Australia", "English", "", "", "Color", "2", "4", "Movie", "False", "False", "False"
"Werwulf", "https://www.imdb.com/title/tt35514120/", "0", "0", "2026", "25/12/2026", "Horror", "", "In 13th-century England, a town is haunted by a ravenous beast that threatens the safety of a man and his family.", "https://m.media-amazon.com/images/M/MV5BYTA5YjA5NTAtMjJlOS00ZTVkLWE0MDgtNDY0ZjVhOTE5NTg3XkEyXkFqcGc@._V1_.jpg", "Werwulf (2026)", "", "", "Post-production", "supernatural horror, werewolf horror, psychological horror, body horror, monster horror", "GB", "69", "DOWN 53", "Robert Eggers", "Robert Eggers, Sjón", "Bodhi Rae Breathnach, Aaron Taylor-Johnson, Lily-Rose Depp", "Bodhi Rae Breathnach, Aaron Taylor-Johnson, Lily-Rose Depp, Willem Dafoe", "", "", "", "", "Bourne Wood, Farnham, Surrey, England, UK", "Old English, English", "", "1.37 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Pati Patni Aur Woh Do", "https://www.imdb.com/title/tt33054858/", "6.2", "7299", "2026", "15/5/2026", "Comedy, Drama, Romance", "7020", "Prajapati sees his orderly life unravel after helping a young couple evade a powerful politician, triggering a cascade of mistaken identities, public scandals, and increasingly absurd suspicions that threaten his marriage to Aparna.", "https://m.media-amazon.com/images/M/MV5BZmE0ZTA5MTgtNTE4NC00NThmLWFiM2EtZTI2MTc2Y2FmZjkwXkEyXkFqcGc@._V1_.jpg", "Wamiqa Gabbi, Ayushmann Khurrana, Rakul Preet Singh, and Sara Ali Khan in Pati Patni Aur Woh Do (2026)", "", "TV-14", "Released", "romantic comedy, motivational", "IN", "70", "UP 4821", "Mudassar Aziz", "Mudassar Aziz, Ravi Kumar", "Wamiqa Gabbi, Ayushmann Khurrana, Rakul Preet Singh", "Wamiqa Gabbi, Ayushmann Khurrana, Rakul Preet Singh, Sara Ali Khan", "", "", "USD 156,033", "USD 586,523", "", "Hindi", "Dolby Digital, Dolby Atmos", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
